key,input,score,alea,epis
SUTWUYBMBWPLMW-MDWZMJQESA-N,CCCCNC(=S)N/N=C/c1sccc1C,0.42302006,0.23503897,0.00903513
RIYHJWOTNJXDLV-UHFFFAOYSA-N,Cn1c(SCc2nc(-c3cccs3)no2)nnc1C1CCCCC1,0.41883934,0.23294772,0.01046525
OGNBARHGQVMGGX-UHFFFAOYSA-N,O=C(O)CC(NC(=O)c1cnccn1)c1ccccc1Cl,0.4215748,0.23380369,0.010045844
WQEXDIRUOYNDCM-UHFFFAOYSA-N,O=S(=O)(c1ccccc1)N1CCN(c2noc3cccc(Cl)c23)CC1,0.41391313,0.23383377,0.008755243
YEGVLLQDOGYWDQ-OAHLLOKOSA-N,CCC[C@@H](C)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(C)cc1,0.41860023,0.236546,0.006828043
CSYFJLPYVQTDCQ-MRXNPFEDSA-N,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2cc(F)ccc2Cl)c2ccc(C(=O)O)cc21,0.418004,0.23309308,0.010183575
JGGVCLFLOLHMSW-UHFFFAOYSA-N,CNC(=O)c1cccc2c1nc(-c1ccccc1O)n2Cc1ccccc1,0.41261256,0.2353076,0.007055817
AKVQZCLFNIRFEL-UDISHMIDSA-N,C[C@]12CCC3C(CC[C@@H]4C[C@@H](S)CC[C@]34C)C1=CC[C@@H]2C1=CC(=O)OC1,0.41999373,0.23702432,0.0065746903
QCIMKMDGHYXCEB-UHFFFAOYSA-N,CC1=C(C(=O)OCc2ccccc2)C(c2ccc(-c3ccccc3C)cc2)NC(=S)N1CCCCCc1nnn[nH]1,0.42340428,0.23684597,0.007287106
SDKIBDZIDPFNHT-UHFFFAOYSA-N,CC(C)Cc1cc(C(=O)NCc2cccnc2)no1,0.41456637,0.23506962,0.007631449
CGVTXIMVAPAPNK-UHFFFAOYSA-N,COC(=O)CC1NN=C2N(CCN2c2ccc(Cl)cc2)C1=O,0.42146352,0.23614717,0.0076848255
LWTPUALMLDLRFE-UHFFFAOYSA-N,CCN1c2ncc(COc3cccc(C(=O)O)c3)cc2C(=O)N(C)c2ccc(Cl)nc21,0.4231385,0.23553589,0.008556437
OAGNFKCWXVXZJD-NDENLUEZSA-N,Cc1c(NC(=S)N/N=C\c2ccccc2O)c(=O)n(-c2ccccc2)n1C,0.42130366,0.23361611,0.010190746
YBVUWGYHDUMFEA-ZCFIWIBFSA-N,C[C@@H](O)c1nc(-c2nc(-c3nc(CO)cs3)cs2)cs1,0.4133538,0.23275942,0.0097330455
GASJOQPNNSMIFF-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)CCCC,0.41529417,0.23619495,0.006629964
LTLAIOBQBYOIBO-UHFFFAOYSA-N,C=Cc1c(N)ncnc1N1CCC(c2nc(-c3ccc(C(F)(F)F)c(F)c3)cn2CCN2CCCC2)CC1,0.4079563,0.23512153,0.006406438
IZMHGQZQXOJLKP-NBVRZTHBSA-N,O=C1/C(=N/c2ccc(O)cc2)C(Cl)C(=O)c2ccccc21,0.4201924,0.232187,0.011443731
OBULHRRJFXTYED-NRFANRHFSA-N,O=C(O)CC[C@H](NC(=O)c1cccc(-c2ccccc2)n1)C(=O)N1CCN(C(=O)OCCCC(F)(F)F)CC1,0.42842042,0.23686732,0.008009071
YVKRFZYIMJJBFA-UHFFFAOYSA-N,CC(=O)Nc1c2c(nn1-c1ccccc1)C[S+]([O-])C2,0.42124102,0.23577721,0.008019792
